METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID
Twin;$2.00;$4.00;$2.00;$4.00;$2.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50078;"{""type"": ""Point"", ""coordinates"": [-123.0694070942942, 49.275463194755666]}";Grandview-Woodland;6C1006
Single;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;62252;"{""type"": ""Point"", ""coordinates"": [-123.09756810177421, 49.28028595307561]}";Strathcona;090238
Twin;$5.00;$2.00;$5.00;$2.00;$5.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;62176;"{""type"": ""Point"", ""coordinates"": [-123.09935102633123, 49.27863132650915]}";Strathcona;420201
Twin;$2.00;$3.00;$2.00;$3.00;$2.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54932;"{""type"": ""Point"", ""coordinates"": [-123.10113833793811, 49.24521053479173]}";Riley Park;514414
Twin;$1.00;$2.00;$1.00;$2.00;$1.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;56757;"{""type"": ""Point"", ""coordinates"": [-123.14551299741932, 49.266937030572834]}";Fairview;642102
Twin;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;60975;"{""type"": ""Point"", ""coordinates"": [-123.12409436801835, 49.274615725767546]}";Downtown;581224
Twin;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;64989;"{""type"": ""Point"", ""coordinates"": [-123.12384605710108, 49.27495606430592]}";Downtown;581211
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;64979;"{""type"": ""Point"", ""coordinates"": [-123.12230953228172, 49.27851261653465]}";Downtown;601003
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;65603;"{""type"": ""Point"", ""coordinates"": [-123.12309767283968, 49.27781911445259]}";Downtown;601032
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;65973;"{""type"": ""Point"", ""coordinates"": [-123.12321379364002, 49.27774199190781]}";Downtown;601038
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;65538;"{""type"": ""Point"", ""coordinates"": [-123.123338973055, 49.27765883280244]}";Downtown;601042
Single;$1.00;$3.00;$1.00;$3.00;$1.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;61510;"{""type"": ""Point"", ""coordinates"": [-123.12385045671638, 49.2774929901872]}";Downtown;601101
Twin;$2.00;$3.00;$2.00;$3.00;$2.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54819;"{""type"": ""Point"", ""coordinates"": [-123.10113833793811, 49.24521053479173]}";Riley Park;514412
Single;$6.00;$2.00;$6.00;$2.00;$6.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64909;"{""type"": ""Point"", ""coordinates"": [-123.11155950521012, 49.283075505869576]}";Downtown;580415
Twin;$6.00;$2.00;$6.00;$2.00;$6.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63558;"{""type"": ""Point"", ""coordinates"": [-123.11138317453131, 49.2831913809166]}";Downtown;580407
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63551;"{""type"": ""Point"", ""coordinates"": [-123.11382474052672, 49.27886972356219]}";Downtown;560718
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;61022;"{""type"": ""Point"", ""coordinates"": [-123.11395114948549, 49.27878700520583]}";Downtown;560722
